,0
0,1584350979159658497
1,thesinglewing
2,wazuberance
3,2B7C89526
4,7solarray
5,Jamie97743500
6,LeaverJoan
7,TruJustice3
8,tracy32hunt1
9,Kjole9
10,mttacv
11,LaFlorTruth
12,Kirsten11948652
13,BrotherGrim48
14,spettis52
15,mike_galde
16,DJDemmerneck222
17,klark77
18,kmemjb
19,GoldnemovesGold
20,TrentEisenbache
21,ozfest22
22,AnnoyedinMN
23,TodellinenDave
24,Yomisma1122
25,RachAeL1942
26,LaurieGiwoyna
27,Nosreyam
28,DavidKnight2345
29,JayJdmoore
30,bjsgarda317
31,tamindave
32,StatesPoll
33,ITrust45
34,Patricia818
35,Jeff81ryan
36,windshawdow
37,GwasiraT
38,shannonwmbc
39,walterm3607
40,dvan713
41,chief77717
42,EFxScout1League
43,RyanSchuiling
44,demscheat
45,DrLanley
46,JWilcox111
47,Theresa73037404
48,christiancnserv
49,Willowinski
50,denise_snively
51,AfJo77
52,WituckiJase
53,radiologictechy
54,goodwones
55,BartemyS
56,DeBronJames
57,scoutdrayton
58,southernlady011
59,UltraMagaLisa
60,NaniLoa1979
61,hockeystudd1
62,TaffeAllison
63,Blt555blt
64,Steph93065In21
65,DonahuePatric
66,LanitaScarlet
67,pastrygirl1
68,BobPSU
69,terriUKfan
70,BobbyMarkowe
71,tonyprito1972
72,suelarocca
73,GREYCOASTING
74,bbusskohl21
75,DAR4444jesus
76,DanielA04738314
77,BeckyBeck73
78,Melissa03295697
79,GodAlwaysWins22
80,dave_husske
81,moblguy
82,Dickens3515
83,bgrayfromfl
84,hartzell_jacob
85,realGStruxness
86,ecojarvis
87,DonaldS95157957
88,jbray1010
89,abqbodywork
90,BisbeeBrian
91,JonnyBean17
92,GOPearetraitors
93,Mrs_Right_Again
94,addswen
95,1580296793337864236
96,2022freedom22
97,ClarkBernard5
98,hartfordwolf
99,MJ72804966
100,miocic46
101,DjkLarson
102,dan_377
103,twidjot
104,NinjaNghost491
105,peterAdamsTx
106,UltraMagaMindTX
107,LeticiaBeam
108,_NavyBrat
109,dw2025rmeat
110,DF52493951
111,clantro
112,AmericaMama1
113,137pft
114,thesinglewing
115,Caladonia11
116,Joedelfino6
117,HeidiFtoad
118,salpie
119,allthewayjumper
120,dunquetusei
121,JJ7854
122,SrvG_d
123,zelda92100120
124,lregino43
125,LukeStPaul1
126,TrumpGal12
127,maarc80
128,Matthew_25_13
129,Caladonia11
130,bkru
131,JoeyMac8
132,SLJNorth
133,poopy_president
134,PKY92941436
135,TomeckoTony
136,TheRightAva
137,Am_Free_USA
138,lvgopher
139,Kydwyn
140,MrQuestion95
141,navyguns81
142,JamesSMcGowan
143,Brandyjb6
144,Thomasmark0
145,PattiMc21477432
146,Danielle43831
147,GiJane_007
148,lucky88duck
149,badzachtakes
150,piggylou73
151,goodbyegirl1012
152,Jeff58028493
153,EttelMark
154,FishermanWords
155,PamelaGolightl6
156,YankeePatriotic
157,ChristiJ1989
158,kdoz93
159,pjanehayes
160,Pfft2Primal
161,aaloron70
162,frogpondRN
163,Allen17Jenn
164,BBBudget
165,ethanpaynetomm2
166,Kirsten11948652
167,paul__carlson
168,8288Neb
169,KKelley3955
170,scottmn55342
171,PoliGrrl
172,MIwolverine10
173,Gerrit_Vanthul
174,consrvgrl
175,RepMaryFranson
176,Holly_Love2
177,reddoginthehou1
178,bscp103
179,jkes22
180,parrish4mn
181,phillipcparrish
182,PatrickHolm49er
183,StPauliGirlOG
184,Scott_Elleraas
185,LinksBrad
186,sgtkango
187,Lauriekitty52
188,1578018487485620224
189,sandymc50
190,jmsousa1124
191,rider_stealth
192,Jeano0000
193,AngieB70689736
194,lectric54
195,AAFMIMI
196,KathleenWinche3
197,GPatrickRep1
198,jan_cam001
199,txwbo864
200,ThomasS40326864
201,Melissa03295697
202,CISSYDOG
203,Sharon575816396
204,TrumpsterSteve
205,ellen83378675
206,ertel_michael
207,Nidaki
208,Christo80540054
209,parg1809
210,ChristaTrump
211,rarodz09
212,harrysherlock9
213,davidetn23
214,AlbertaCanada60
215,gdcox1
216,3_kitteh
217,patriotpromise2
218,Antonia_dlV
219,America1Eagle1
220,SherryH886
221,gibsonart
222,Winglle20
223,frankieknowskc
224,DaveBoulder
225,JtCarter19
226,DJJohnBee1
227,BirdieMarie4
228,WearWarriorgear
229,chewie1238
230,Luke11_13
231,homesteadlady
232,SierraDante
233,piper_curt
234,GoldnemovesGold
235,CecyHanna
236,EstergrenSue
237,Imogene08
238,DjkLarson
239,jc84xjpngh
240,AccordingtoGC
241,ROMULUS7078
242,ArmenianBedros
243,fred7722
244,JamesSMcGowan
245,DaveHagen1
246,RandyCarranco
247,FishermanWords
248,MplsInfo
249,Christi26702974
250,AngCooperman
251,PatriotTomV
252,northcastle714
253,Caladonia11
254,No_to_socialism
255,PoliPosse
256,BunchosDaisy
257,maverick0732
258,GraceBDorn1
259,InSammyT
260,taconitequeen
261,pattyisright
262,drscottjensen
263,Christi43919339
264,MagaPatriot111
265,NinjaNghost491
266,rewe1985
267,Tigersharke
268,NaniLoa1979
269,taconitequeen
270,Unionpuke
271,SenatorNewmanMN
272,Ander1999K
273,habe3693
274,puntandshowers
275,MouktarAlbert
276,damob99
277,MNhomes
278,SherryBossMama
279,john19187295
280,JrnNelsen
281,TikiTiQue
282,1565123106255020034
283,DebHeacox
284,mikebro_usa
285,Doc__Flynn
286,Hendrix27x
287,PoliPosse
288,TheCons99533818
289,Caladonia11
290,Tommy02049825
291,KErazorlife
292,argoguide
293,Kirsten11948652
294,Alex78197457
295,LandOLakesCalri
296,terry_burritt
297,starryvonne
298,qwertyeusk
299,ReeveTanner
300,mindiluhu
301,DanielleNorgedm
302,gdrazman
303,Sniper983241337
304,Monty4G63
305,csmnwild
306,sangrerayada
307,Brian_Kennedy
308,mnrube17
309,trastan
310,AeDanoff
311,drscottjensen
312,insanecreepy2
313,wakoppa
314,SurfsBri
315,michaeljames86
316,MichaelTowery
317,ElSupremo9138
318,cogitarus
319,BonfireDesigns2
320,Ryan_Ferrin9
321,WestinEhrlich
322,slashapu81
323,Batgirl9343
324,Queen__MAGA
325,RandeeM5
326,ant3tweet
327,dachisholm
328,MagaPatriot111
329,bucktail81
330,FarmGirlJane_oh
331,Ruby264600332
332,Juliett67759055
333,ErikMohlin1
334,DaveHagen1
335,mothmansredcock
336,MyOwnViewpoints
337,JoeyMac8
338,poochiethoughts
339,VikingsTweetGuy
340,twald1
341,Kraemer151
342,hallbanero
343,ammurphy612
344,thesinglewing
345,dbuchar
346,AlanLipinski3
347,Tonytone3005
348,MrUser2077
349,Ryan9900
350,FlaGirlKristy
351,Sundevil891
352,DKTNews
353,space_case12
354,annbauerwriter
355,Hacha17Q
356,Smartcot
357,jc84xjpngh
358,kostpmp
359,ColtCollins54
360,LawrenceSYorkJr
361,camueller58
362,scottmn55342
363,BarelyBenz
364,pswerdfiger
365,PuckPc
366,bfkallio
367,MommaMinnesota1
368,DebraBuenik
369,Jigworm
370,LivinInMN1
371,lynndiane33
372,OregonMountains
373,KingBowman48
374,realguyrog
375,malonesmic
376,Abe_Froman__
377,Profbuiltdiff
378,1560704006892265472
379,SingleMomx2
380,OstlundGary
381,johnnywrenn
382,Reenit
383,JamesSMcGowan
384,DJD81553730
385,SuzyDefranco
386,dorseydougdds
387,Believe_N_USA
388,stevekhalar
389,PoliPosse
390,Mnwll123
391,Stevenminer
392,denlusk13
393,AlmaAttila
394,WooblyBadoobly
395,Koczur_David_L
396,MargaretjoPeggy
397,dw_subbed
398,Manny60639087
399,cannoneerfour
400,KbakerKim
401,Amps76
402,Morganna2017
403,truthtsar
404,itunes65
405,Jake67_patriot
406,francvs
407,Charlie73290849
408,mbbklowry
409,FrankG27559038
410,browneyegirl400
411,realMicahLarson
412,daffodil139
413,Tommy02049825
414,CrassCynic
415,LizzyRoss911
416,WDTrades
417,socalrn4
418,Socorro46656493
419,NeckHigh
420,LutherLutheran
421,Quintonm612
422,jr_darkknight13
423,vicenquintero
424,PaulRaiiin15
425,kevincrull
426,LivinInMN1
427,d_janthony
428,Montcrist2
429,PatriotsLodge
430,GlendaEly2
431,clovertah
432,littleo2021
433,CATTLECAPERS
434,JeanneMAdams
435,travis77eaton
436,Linda_RoseW
437,KPH2020eyes
438,deanyb71
439,LeePaige16
440,davespencernews
441,BrookMiller4
442,restark1
443,JalalNoir
444,strong_617
445,deeclarea17
446,SebasJC_CR
447,MichaelC0717
448,auntfifi4trump
449,DGatlim
450,LeBrisket
451,Snow65Snow
452,LoanWolfXLV
453,cranky_ctyankee
454,19Yrag
455,ridercoachr1100
456,Chris0X0Cross
457,SorbelThorn
458,Gingerod
459,sueschreck3
460,brexitleo
461,triggers_truth
462,wildride1313
463,MichaelDBlush1
464,MistaCrypto
465,Winters96310300
466,Jagged1969
467,SpoonWitherknox
468,Tempe21
469,TX_Embassy
470,smittyJ03
471,ToddWestman
472,DorthyEstabrook
473,maarc80
474,KellyThrives
475,AlanLipinski3
476,DavidWaldorf3
477,1559274903798439936
478,lucy_wayne2003
479,GabrielPoletz
480,T101001011
481,xxDarkrai007
482,TinaNewman007
483,octohorse
484,terry_burritt
485,cjj90
486,DavidEYork2
487,JamesSMcGowan
488,pickles_couger
489,RussGoPackGo
490,beccay4
491,brogdon_terry
492,JayJdmoore
493,KbakerKim
494,srgogo1776
495,DerbyGuruAj
496,JackLtila
497,teriahart
498,jdhoss
499,mattpawelk
500,BeckyJ1961
501,PastorTimGraham
502,Kjjty190
503,hrdrckminer
504,JasonKa72972462
505,renae95838742
506,wsfForever
507,GreenAr76188234
508,VV07125790
509,loganogle3
510,MKMMAkayb
511,joey_tweedy
512,IronRangeRepub
513,vondrachek
514,Dylan45204352
515,scottmn55342
516,usnrjacobs
517,FarmNwhatnot
518,benda_jeff
519,steph12581
520,IceBergMN1
521,TV48984106
522,PatriotFromMN
523,patchesopool
524,lynndiane33
525,Name202Nick
526,teresejacobson
527,topherg33
528,DaleJust2
529,SkArYhRs
530,BernieK57981249
531,1976Firestorm
532,realjoewms
533,TerryBaumann7
534,Juliafinchhobbs
535,delecto4pierre
536,WalzSucks
537,derekwonders
538,bk6533
539,cacandgreco
540,Bible__Guy
541,rider_stealth
542,Michele_Tafoya
543,UnacceptableEC
544,groover1975
545,brad35962868
546,KliberLisa
547,Shamrock270
548,GooOutdoors
549,danlroot
550,CJPeter51935581
551,Astralseeker7
552,andrewhaas77
553,maverick0732
554,greratii
555,AndrewDeikel
556,aaloron70
557,DougKimball14
